IDD,AJD
"""IDD-390""",1-1470-1
"""IDD-436""",2-1470-2
"""IDD-199""",3-1470-3
"""IDD-162""",4-1470-4
"""IDD-227""",5-1471-1
"""IDD-156""",6-1471-2
"""IDD-314""",7-1471-3
"""IDD-332""",8-1472-1
"""IDD-392""",9-1472-2
"""IDD-344""",10-1472-3
"""IDD-343""",11-1472-4
"""IDD-024""",12-1473-1
"""IDD-151""",13-1473-2
"""IDD-228""",14-1473-3
"""IDD-337""",15-1473-4
"""IDD-327""",16-1473-5
"""IDD-160""",17-1474-1
"""IDD-153""",18-1474-2
"""IDD-200""",19-1474-3
"""IDD-224""",20-1474-4
"""IDD-225""",21-1474-5
"""IDD-036""",22-1474-6
"""IDD-152""",23-1474-7
"""IDD-229""",24-1474-8
"""IDD-310""",25-1474-9
"""IDD-338""",26-1474-10
"""IDD-333""",27-1474-11
"""IDD-171""",28-1474-12
"""IDD-438""",29-1475-1
"""IDD-210""",30-1475-2
"""IDD-282""",31-1475-3
"""IDD-038""",32-1475-4
"""IDD-437""",33-1475-5
"""IDD-186""",34-1475-6
"""IDD-309""",35-1475-7
"""IDD-394""",36-1475-8
"""IDD-037""",37-1475-9
"""IDD-300""",38-1475-10
"""IDD-313""",39-1475-11
"""IDD-331""",40-1475-12
"""IDD-301""",41-1475-13
"""IDD-234""",42-1475-14
"""IDD-235""",43-1475-15
"""IDD-236""",44-1475-16
"""IDD-237""",45-1475-17
"""IDD-288""",46-1475-18
"""IDD-289""",47-1475-19
"""IDD-290""",48-1475-20
"""IDD-286""",49-1475-21
"""IDD-287""",50-1475-22
"""IDD-157""",51-1475-23
"""IDD-195""",52-1475-24
"""IDD-230""",53-1475-25
"""IDD-312""",54-1475-26
"""IDD-285""",55-1475-27
"""IDD-284""",56-1475-28
"""IDD-283""",57-1475-29
"""IDD-303""",58-1475-30
"""IDD-447""",59-1475-31
"""IDD-296""",60-1475-32
"""IDD-342""",61-1476-1
"""IDD-231""",62-1476-2
"""IDD-292""",63-1476-3
"""IDD-302""",64-1476-4
"""IDD-184""",65-1476-5
"""IDD-187""",66-1476-6
"""IDD-326""",67-1476-7
"""IDD-291""",68-1476-8
"""IDD-371""",69-1477-1
"""IDD-281""",70-1477-2
"""IDD-316""",71-1477-3
"""IDD-363""",72-1477-4
"""IDD-325""",73-1477-5
"""IDD-347""",74-1477-6
"""IDD-196""",75-1477-7
"""IDD-308""",76-1478-1
"""IDD-233""",77-1478-2
"""IDD-297""",78-1478-3
"""IDD-315""",79-1478-4
"""IDD-322""",80-1478-5
"""IDD-201""",81-1478-6
"""IDD-188""",82-1479-1
"""IDD-395""",83-1479-2
"""IDD-323""",84-1479-3
"""IDD-155""",85-1479-4
"""IDD-174""",86-1479-5
"""IDD-324""",87-1479-6
"""IDD-311""",88-1479-7
"""IDD-385""",89-1480-1
"""IDD-305""",90-1480-2
"""IDD-306""",91-1480-3
"""IDD-299""",92-1480-4
"""IDD-298""",93-1480-5
"""IDD-451""",94-1480-6
"""IDD-376""",95-1481-1
"""IDD-172""",96-1481-2
"""IDD-173""",97-1481-3
"""IDD-341""",98-1481-4
"""IDD-345""",99-1481-5
"""IDD-321""",100-1481-6
"""IDD-450""",101-1481-7
"""IDD-374""",102-1481-8
"""IDD-336""",103-1481-9
"""IDD-373""",104-1482-1
"""IDD-361""",105-1482-2
"""IDD-427""",106-1482-3
"""IDD-320""",107-1482-4
"""IDD-441""",108-1482-5
"""IDD-430""",109-1482-6
"""IDD-293""",110-1482-7
"""IDD-181""",111-1483-1
"""IDD-175""",112-1483-2
"""IDD-307""",113-1483-3
"""IDD-203""",114-1483-4
"""IDD-189""",115-1483-5
"""IDD-226""",116-1483-6
"""IDD-319""",117-1483-7
"""IDD-460""",118-1483-8
"""IDD-461""",119-1483-9
"""IDD-382""",120-1484-1
"""IDD-462""",121-1484-2
"""IDD-190""",122-1485-1
"""IDD-334""",123-1485-2
"""IDD-142""",124-1485-3
"""IDD-318""",125-1485-4
"""IDD-158""",126-1485-5
"""IDD-317""",127-1485-6
"""IDD-143""",128-1486-1
"""IDD-368""",129-1486-2
"""IDD-329""",130-1486-3
"""IDD-330""",131-1486-4
"""IDD-039""",132-1486-5
"""IDD-449""",133-1486-6
"""IDD-367""",134-1487-1
"""IDD-241""",135-1487-2
"""IDD-040""",136-1487-3
"""IDD-245""",137-1488-1
"""IDD-029""",138-1488-2
"""IDD-223""",139-1488-3
"""IDD-232""",140-1488-4
"""IDD-041""",141-1488-5
"""IDD-463""",142-1488-6
"""IDD-464""",143-1489-1
"""IDD-161""",144-1489-2
"""IDD-163""",145-1489-3
"""IDD-154""",146-1489-4
"""IDD-372""",147-1489-5
"""IDD-346""",148-1489-6
"""IDD-166""",149-1490-1
"""IDD-221""",150-1490-2
"""IDD-242""",151-1490-3
"""IDD-362""",152-1490-4
"""IDD-180""",153-1490-5
"""IDD-191""",154-1490-6
"""IDD-340""",155-1490-7
"""IDD-386""",156-1490-8
"""IDD-294""",157-1490-9
"""IDD-238""",158-1490-10
"""IDD-176""",159-1491-1
"""IDD-178""",160-1491-2
"""IDD-179""",161-1491-3
"""IDD-028""",162-1491-4
"""IDD-177""",163-1491-5
"""IDD-414""",164-1492-6
"""IDD-428""",165-1492-7
"""IDD-144""",166-1492-8
"""IDD-442""",167-1492-9
"""IDD-212""",168-1492-10
"""IDD-213""",169-1492-11
"""IDD-214""",170-1492-12
"""IDD-215""",171-1492-13
"""IDD-216""",172-1492-14
"""IDD-217""",173-1492-15
"""IDD-218""",174-1492-16
"""IDD-443""",175-1492-17
"""IDD-164""",176-1493-1
"""IDD-145""",177-1493-2
"""IDD-165""",178-1493-3
"""IDD-204""",179-1493-4
"""IDD-452""",180-1493-5
"""IDD-220""",181-1494-1
"""IDD-219""",182-1494-2
"""IDD-365""",183-1494-3
"""IDD-147""",184-1494-4
"""IDD-366""",185-1494-5
"""IDD-159""",186-1494-6
"""IDD-328""",187-1494-7
"""IDD-248""",188-1495-1
"""IDD-197""",189-1495-2
"""IDD-148""",190-1495-3
"""IDD-207""",191-1495-4
"""IDD-375""",192-1495-5
"""IDD-370""",193-1495-6
"""IDD-027""",194-1496-1
"""IDD-170""",195-1496-2
"""IDD-194""",196-1496-3
"""IDD-183""",197-1496-4
"""IDD-304""",198-1496-5
"""IDD-465""",199-1496-6
"""IDD-369""",200-1496-7
"""IDD-246""",201-1496-8
"""IDD-192""",202-1496-9
"""IDD-250""",203-1497-1
"""IDD-206""",204-1497-2
"""IDD-185""",205-1497-3
"""IDD-398""",206-1497-4
"""IDD-146""",207-1497-5
"""IDD-249""",208-1497-6
"""IDD-243""",209-1497-7
"""IDD-339""",210-1497-8
"""IDD-211""",211-1498-1
"""IDD-208""",212-1498-2
"""IDD-205""",213-1498-3
"""IDD-140""",214-1498-4
"""IDD-295""",215-1498-5
"""IDD-150""",216-1499-1
"""IDD-149""",217-1499-2
"""IDD-025""",218-1499-3
"""IDD-448""",219-1499-4
"""IDD-364""",220-1500-1
"""IDD-253""",221-1500-2
"""IDD-026""",222-1500-3
"""IDD-198""",223-1500-4
"""IDD-222""",224-1500-5
"""IDD-400""",225-1500-6
"""IDD-401""",226-1500-7
"""IDD-335""",227-1500-8
"""IDD-182""",228-1500-9
"""IDD-408""",229-1501-1
"""IDD-409""",230-1501-2
"""IDD-410""",231-1501-3
"""IDD-411""",232-1501-4
"""IDD-440""",233-1502-1
"""IDD-057""",234-1502-2
"""IDD-120""",235-1502-3
"""IDD-141""",236-1502-4
"""IDD-078""",237-1504-1
"""IDD-239""",238-1505-1
"""IDD-080""",239-1505-2
"""IDD-124""",240-1506-1
"""IDD-468""",241-1506-2
"""IDD-022""",242-1506-3
"""IDD-075""",243-1506-4
"""IDD-076""",244-1506-5
"""IDD-077""",245-1506-6
"""IDD-135""",246-1506-7
"""IDD-015""",247-1507-1
"""IDD-065""",248-1507-2
"""IDD-066""",249-1507-3
"""IDD-068""",250-1507-4
"""IDD-125""",251-1507-5
"""IDD-126""",252-1507-6
"""IDD-257""",253-1507-7
"""IDD-423""",254-1508-1
"""IDD-016""",255-1508-2
"""IDD-023""",256-1508-3
"""IDD-069""",257-1508-4
"""IDD-106""",258-1508-5
"""IDD-107""",259-1508-6
"""IDD-108""",260-1508-7
"""IDD-110""",261-1508-8
"""IDD-112""",262-1508-9
"""IDD-113""",263-1508-10
"""IDD-122""",264-1508-11
"""IDD-127""",265-1508-12
"""IDD-403""",266-1508-13
"""IDD-109""",267-1508-14
"""IDD-456""",268-1509-1
"""IDD-457""",269-1509-2
"""IDD-458""",270-1509-3
"""IDD-020""",271-1509-4
"""IDD-074""",272-1509-5
"""IDD-116""",273-1509-6
"""IDD-404""",274-1509-7
"""IDD-405""",275-1509-8
"""IDD-103""",276-1509-9
"""IDD-104""",277-1509-10
"""IDD-383""",278-1509-11
"""IDD-384""",279-1509-12
"""IDD-105""",280-1509-13
"""IDD-102""",281-1509-14
"""IDD-273""",282-1510-1
"""IDD-348""",283-1510-2
"""IDD-094""",284-1510-3
"""IDD-418""",285-1510-4
"""IDD-439""",286-1510-5
"""IDD-466""",287-1510-6
"""IDD-017""",288-1510-7
"""IDD-018""",289-1510-8
"""IDD-063""",290-1510-9
"""IDD-088""",291-1510-10
"""IDD-089""",292-1510-11
"""IDD-092""",293-1510-12
"""IDD-093""",294-1510-13
"""IDD-111""",295-1510-14
"""IDD-138""",296-1510-15
"""IDD-255""",297-1510-16
"""IDD-275""",298-1510-17
"""IDD-380""",299-1510-18
"""IDD-377""",300-1510-19
"""IDD-035""",301-1511-1
"""IDD-415""",302-1511-2
"""IDD-445""",303-1511-3
"""IDD-469""",304-1511-4
"""IDD-004""",305-1511-5
"""IDD-005""",306-1511-6
"""IDD-019""",307-1511-7
"""IDD-071""",308-1511-8
"""IDD-072""",309-1511-9
"""IDD-073""",310-1511-10
"""IDD-090""",311-1511-11
"""IDD-098""",312-1511-12
"""IDD-419""",313-1511-13
"""IDD-252""",314-1511-14
"""IDD-202""",315-1512-1
"""IDD-444""",316-1512-2
"""IDD-454""",317-1512-3
"""IDD-001""",318-1512-4
"""IDD-030""",319-1512-5
"""IDD-033""",320-1512-6
"""IDD-047""",321-1512-7
"""IDD-052""",322-1512-8
"""IDD-064""",323-1512-9
"""IDD-096""",324-1512-10
"""IDD-097""",325-1512-11
"""IDD-121""",326-1512-12
"""IDD-378""",327-1512-13
"""IDD-420""",328-1513-1
"""IDD-422""",329-1514-1
"""IDD-424""",330-1514-2
"""IDD-446""",331-1514-3
"""IDD-011""",332-1514-4
"""IDD-070""",333-1514-5
"""IDD-117""",334-1514-6
"""IDD-119""",335-1514-7
"""IDD-129""",336-1514-8
"""IDD-276""",337-1514-9
"""IDD-279""",338-1514-10
"""IDD-006""",339-1515-1
"""IDD-082""",340-1515-2
"""IDD-086""",341-1515-3
"""IDD-099""",342-1515-4
"""IDD-136""",343-1515-5
"""IDD-258""",344-1515-6
"""IDD-054""",345-1516-1
"""IDD-062""",346-1516-1
"""IDD-128""",347-1516-3
"""IDD-280""",348-1516-4
"""IDD-435""",349-1517-1
"""IDD-277""",350-1517-2
"""IDD-012""",351-1518-1
"""IDD-095""",352-1518-2
"""IDD-100""",353-1518-3
"""IDD-118""",354-1518-4
"""IDD-259""",355-1518-5
"""IDD-274""",356-1518-6
"""IDD-278""",357-1518-7
"""IDD-137""",358-1519-1
"""IDD-416""",359-1519-2
"""IDD-425""",360-1519-3
"""IDD-426""",361-1519-4
"""IDD-007""",362-1519-5
"""IDD-061""",363-1519-6
"""IDD-101""",364-1519-7
"""IDD-406""",365-1520-1
"""IDD-417""",366-1520-2
"""IDD-459""",367-1520-3
"""IDD-003""",368-1520-4
"""IDD-008""",369-1520-5
"""IDD-031""",370-1520-6
"""IDD-032""",371-1520-7
"""IDD-053""",372-1520-8
"""IDD-034""",373-1520-9
"""IDD-453""",374-1521-1
"""IDD-455""",375-1521-2
"""IDD-050""",376-1521-3
"""IDD-079""",377-1521-4
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,569--
,570--
,571--
,572--
,573--
,574--
,575--
,576--
,577--
,578--
,579--
,580--
,581--
,582--
,583--
,584--
,585--
,586--
,587--
,588--
,589--
,590--
,591--
,592--
,593--
,594--
,595--
,596--
,597--
,598--
,599--
,600--
,601--
,602--
,603--
,604--
,605--
,606--
,607--
,608--
,609--
,610--
,611--
,612--
,613--
,614--
,615--
,616--
,617--
,618--
,619--
,620--
,621--
,622--
,623--
,624--
,625--
,626--
,627--
,628--
,629--
,630--
,631--
,632--
,633--
,634--
,635--
,636--
,637--
,638--
,639--
,640--
,641--
,642--
,643--
,644--
,645--
,646--
,647--
,648--
,649--
,650--
,651--
,652--
,653--
,654--
,655--
,656--
,657--
,658--
,659--
,660--
,661--
,662--
,663--
,664--
,665--
,666--
,667--
,668--
,669--
,670--
,671--
,672--
,673--
,674--
,675--
,676--
,677--
,678--
,679--
,680--
,681--
,682--
,683--
,684--
,685--
,686--
,687--
,688--
,689--
,690--
,691--
,692--
,693--
,694--
,695--
,696--
,697--
,698--
,699--
,700--
,701--
,702--
,703--
,704--
,705--
,706--
,707--
,708--
,709--
,710--
,711--
,712--
,713--
,714--
,715--
,716--
,717--
,718--
,719--
,720--
,721--
,722--
,723--
,724--
,725--
,726--
,727--
,728--
,729--
,730--
,731--
,732--
,733--
,734--
,735--
,736--
,737--
,738--
,739--
,740--
,741--
,742--
,743--
,744--
,745--
,746--
,747--
,748--
,749--
,750--
,751--
,752--
,753--
,754--
,755--
,756--
,757--
,758--
,759--
,760--
,761--
,762--
,763--
,764--
,765--
,766--
,767--
,768--
,769--
,770--
,771--
,772--
,773--
,774--
,775--
,776--
,777--
,778--
,779--
,780--
,781--
,782--
,783--
,784--
,785--
,786--
,787--
,788--
,789--
,790--
,791--
,792--
,793--
,794--
,795--
,796--
,797--
,798--
,799--
,800--
,801--
,802--
,803--
,804--
,805--
,806--
,807--
,808--
,809--
,810--
,811--
,812--
,813--
,814--
,815--
,816--
,817--
,818--
,819--
,820--
,821--
,822--
,823--
,824--
,825--
,826--
,827--
,828--
,829--
,830--
,831--
,832--
,833--
,834--
,835--
,836--
,837--
,838--
,839--
,840--
,841--
,842--
,843--
,844--
,845--
,846--
,847--
,848--
,849--
,850--
,851--
,852--
,853--
,854--
,855--
,856--
,857--
,858--
,859--
,860--
,861--
,862--
,863--
,864--
,865--
,866--
,867--
,868--
,869--
,870--
,871--
,872--
,873--
,874--
,875--
,876--
,877--
,878--
,879--
,880--
,881--
,882--
,883--
,884--
,885--
,886--
,887--
,888--
,889--
,890--
,891--
,892--
,893--
,894--
,895--
,896--
,897--
,898--
,899--
,900--
,901--
,902--
,903--
,904--
,905--
,906--
,907--
,908--
,909--
,910--
,911--
,912--
,913--
,914--
,915--
,916--
,917--
,918--
,919--
,920--
,921--
,922--
,923--
,924--
,925--
,926--
,927--
,928--
,929--
,930--
,931--
,932--
,933--
,934--
,935--
,936--
,937--
,938--
,939--
,940--
,941--
,942--
,943--
,944--
,945--
,946--
,947--
,948--
,949--
,950--
,951--
,952--
,953--
,954--
,955--
,956--
,957--
,958--
,959--
,960--
,961--
,962--
,963--
,964--
,965--
,966--
,967--
,968--
,969--
,970--
,971--
,972--
,973--
,974--
,975--
,976--
,977--
,978--
,979--
,980--
,981--
,982--
,983--
,984--
,985--
,986--
,987--
,988--
,989--
,990--
,991--
,992--
,993--
,994--
,995--
,996--
,997--
,998--
,999--